Data monitoring points,Distance (m),Charge per delay (kg),Scaled distance (m/kg^1/2),PPV (mm/s),Vertical PPV (mm/s),Longitudinal PPV (mm/s),Transvers PPV (mm/s)
1,300,1850,6.97,189.46,110.5,109.45,108.2
2,350,1850,8.14,149.16,86.25,85.95,86.15
3,400,1875,9.24,122.17,70.45,71.25,69.65
4,450,1950,10.2,104.3,60.2,60.35,60.1
5,500,1950,11.32,87.1,50.9,50.2,49.75
6,550,1950,12.46,75.46,43.7,43.85,43.15
7,600,1950,13.59,68.68,39.5,40.5,38.95
8,650,1875,15.01,56.32,32.35,32.75,32.45
9,700,1875,16.17,48.74,28.8,27.5,28.1
10,750,1875,17.32,43.62,25.75,24.95,24.85
11,800,1912.5,18.29,40.48,23.6,22.65,23.85
12,850,1912.5,19.44,36.69,21.45,21.15,20.95
13,900,1912.5,20.58,33.81,19.55,19.15,19.85
14,950,1900,21.79,31.23,17.85,18.95,17.25
15,1000,1875,23.09,28.21,16.25,16.85,15.75
16,1050,2950,19.33,36.7,21.65,20.75,21.15
17,1100,1800,25.93,22.98,13.5,13.05,13.25
18,1150,2750,21.93,30.99,17.65,18.75,17.25
19,1200,2150,25.88,23.42,13.55,13.05,13.95
20,1250,2050,27.61,21.08,12.2,11.75,12.55
21,300,1450,7.88,156.95,90.85,90.75,90.25
22,350,1450,9.19,100.94,71.05,71.3,70.95
23,400,1400,10.69,96.18,55.75,55.75,55.08
24,450,1450,11.82,82.13,47.5,47.4,47.35
25,500,1400,13.36,67.64,39.05,39.15,38.95
26,550,1500,14.2,60.63,35.45,35.55,35.75
27,600,1200,17.32,45.63,25.7,25.85,27.45
28,650,1850,15.11,55.48,32.05,32,32.05
29,700,1850,16.27,49.19,28.4,28.45,28.35
30,750,950,24.33,25.81,14.95,14.9,14.85
31,800,1350,21.77,30.8,17.8,17.7,17.85
32,850,1250,24.04,26.33,15.25,15.2,15.15
33,900,1250,25.46,23.51,13.95,13.8,12.95
34,950,1500,24.53,25.32,14.75,14.85,14.25
35,1000,1500,25.82,23.3,13.5,13.25,13.35
36,1050,1750,25.1,24.39,14.25,13.95,14.05
37,1100,2350,22.69,28.32,16.75,16.05,16.25
38,1150,1350,31.3,17.26,10,9.85,10.05
39,1200,1450,31.51,16.75,9.9,9.85,9.25
40,1250,2755,23.81,26.36,15.5,15.2,14.95
41,300,1650,7.39,174.16,100.75,101.05,99.85
42,350,1550,8.89,128.35,74.9,73.45,73.95
43,400,1355,10.89,94.17,54.3,54.95,53.85
44,450,1555,11.22,86.63,50.25,49.75,50.05
45,500,1850,11.62,83.8,48.75,48.35,48.05
46,550,1900,12.62,62.24,35.95,36.15,36.95
47,600,1400,16.03,50.67,29.15,29.75,28.85
48,650,1100,19.6,36.17,21.15,20.55,20.95
49,700,1250,19.8,34.77,20.8,21.05,20.1
50,750,1500,19.3,36.41,21.55,20.45,21.05
51,800,1800,18.86,38.42,22.45,22.1,21.95
52,850,1950,19.25,36.85,21.75,20.65,20.05
53,900,1250,25.46,23.42,13.9,13.1,13.55
54,950,1250,26.87,21.25,12.75,11.95,12.1
55,1000,1200,28.88,18.62,10.75,11.05,10.45
56,1050,1950,23.78,26.58,15.5,14.55,15.95
57,1100,1800,25.93,22.73,13.05,13.55,12.75
58,1150,1800,27.11,21.17,12.55,11.85,12.25
59,1200,1800,28.28,19.44,11.75,10.65,11.25
60,1250,1950,28.31,18.83,10.25,11.75,10.55
61,300,1600,7.5,191.01,110.44,110.42,109.98
62,350,1450,9.19,142.44,82.24,82.26,82.22
63,400,1850,9.3,140,80.85,80.81,80.83
64,450,1700,10.91,111.06,64.1,64.15,64.12
65,500,1300,13.87,78.29,45.3,44.95,45.35
66,550,1750,13.15,84.74,48.94,48.85,48.98
67,600,1950,13.59,80.79,46.66,46.65,46.62
68,650,1800,15.32,68.04,39.2,39.25,39.4
69,700,1200,20.21,45.44,26.24,26.15,26.32
70,750,1150,22.12,39.85,23.02,22.95,23.05
71,800,1650,19.69,47.11,27.24,27.15,27.2
72,850,1050,26.23,30.65,17.98,17.85,17.25
73,900,1850,20.92,42.93,24.95,24.55,24.85
74,950,1300,26.35,28.87,17.86,17.65,17.95
75,1000,1950,22.65,38.37,22.25,22.05,22.15
76,1050,1100,31.66,23.55,13.69,13.45,13.65
77,1100,1250,31.11,24.15,14.03,13.85,13.95
78,1150,1350,31.3,23.8,13.91,13.45,13.85
79,1200,1500,30.98,24.29,14.12,13.9,14.05
80,1250,1750,29.88,25.74,14.88,14.8,14.9
81,300,1500,7.75,182.33,105.61,104.95,105.24
82,350,1950,7.93,175.74,101.52,101.32,101.55
83,400,1850,9.3,129.45,77.11,77,69.88
84,450,1100,13.57,69.715,40.27,40.15,40.33
85,500,1050,15.43,55.67,32.28,31.98,32.17
86,550,1750,13.15,73.31,42.51,42.02,42.45
87,600,1200,17.32,45.77,26.46,26.39,26.42
